Start Signal,End Signal,Min Rise Delay,Max Rise Delay,Min Fall Delay,Max Fall Delay,Estimated Depth,Mapped Start Signal
D_N,X,0.150073610564172,0.455980127673431,0.3437824011660007,1.5015606960610064,4.5598012767343095,_1736_
A1,Y,0.0884830983527731,0.2343984517273349,0.0510208834067061,0.2147098809518919,2.343984517273349,_1852_
A2,Y,0.0876188174592345,0.2452621786195686,0.0400521849245253,0.1647249883121267,2.4526217861956856,_1841_
B1,Y,0.0674946229121839,0.2147607291678578,0.0267172923291691,0.1330760955764383,2.147607291678578,_1864_
A,Y,0.0593842214433144,0.145722688040977,0.0350805158740247,0.1217063984042097,1.45722688040977,key_in[15]
A,X,0.1255849071392782,0.3180914510715262,0.107670528318515,0.2865792129162462,3.1809145107152617,key_in[15]
A1_N,X,0.1886267861962414,0.5977591923971037,0.147115421231395,0.7034189541054883,5.977591923971037,_0995_
A2_N,X,0.1787312293200139,0.5715681978381959,0.1390428644909477,0.680346853666717,5.715681978381959,A2_N
B1,X,0.1177469266527807,0.3464857110406908,0.1935761883355747,0.6768640284288157,3.464857110406908,_1864_
B2,X,0.1081335121495594,0.3242015081492038,0.1705927392078269,0.6259954953809724,3.242015081492038,_1843_
A1,Y,0.1464905183065235,0.4001284694609278,0.0651807862244411,0.2808629242009641,4.001284694609278,_1852_
A2,Y,0.1336986809106804,0.3744644700311384,0.0515847310023904,0.2342369420282598,3.744644700311384,_1841_
B1,Y,0.1228347736072002,0.3323911795442734,0.0554221788316212,0.2454224115621293,3.3239117954427337,_1864_
B2,Y,0.1085403464495455,0.2896665767015917,0.0439044230065306,0.2158830952885575,2.8966657670159166,_1843_
A1_N,X,0.1598534683201736,0.5391003351874428,0.1284612175216735,0.6264368090457422,5.391003351874428,_0995_
A2_N,X,0.1505264705487244,0.522025493163857,0.1281714493040511,0.6745887372977992,5.2202549316385705,A2_N
B1,X,0.0876820030289105,0.2689983589793009,0.1689106541334326,0.615403301292666,2.689983589793009,_1864_
B2,X,0.0956707379286279,0.3328862280049547,0.1477296660149287,0.5747915084367515,3.328862280049547,_1843_
A,Y,0.0304383159237405,0.0895594318500124,0.0199104436490189,0.0835462764284435,0.8955943185001239,key_in[15]
A,Y,0.0907962966622587,0.2193078558606288,0.0575243133298154,0.197541641413718,2.193078558606288,key_in[15]
A,Y,0.0562252378625141,0.1441041771143282,0.03469975446862,0.1500497268906793,1.441041771143282,key_in[15]
A,X,0.0937022361224616,0.3342064497520261,0.2300948108285383,0.9287989529264314,3.342064497520261,key_in[15]
B,X,0.0872720947988381,0.2814832058223649,0.2108981660114315,0.8539806881140297,2.814832058223649,_1780_
C_N,X,0.1302566980034525,0.3886774345720573,0.2024406116707313,0.9083761777662512,3.886774345720573,_1473_
A1,X,0.1124244548721528,0.4621423374791653,0.1674316982449261,0.5141298643451755,4.621423374791653,_1852_
A2,X,0.1130712361301221,0.4521277646913319,0.1600763872320351,0.5059058870576747,4.521277646913319,_1841_
B1,X,0.0963977466801832,0.404144756877249,0.1408430079095621,0.4456878880992859,4.041447568772489,_1864_
B2,X,0.108087965248686,0.4440252180505837,0.142803856115536,0.4655488903931177,4.440252180505837,_1843_
C1,X,0.0765559373674324,0.3635419568280882,0.0772823354963068,0.2630897796307154,3.635419568280882,_1854_
A,X,0.0840024878988462,0.2384971176944131,0.1451193234433923,0.553888506293688,2.38497117694413,key_in[15]
B_N,X,0.1154763678475406,0.3545605853717676,0.1462759954565231,0.606690104215528,3.545605853717676,_1680_
A,X,0.0818436938608772,0.2466326934710779,0.2148213889800813,0.879510267287311,2.466326934710779,key_in[15]
B,X,0.0629347980432096,0.1727688319087876,0.1917078217101676,0.784121789692889,1.727688319087876,_1780_
C,X,0.0648447425220648,0.1805790706966727,0.1713454149286587,0.725555414063795,1.805790706966727,_1779_
A1,X,0.1065800672328878,0.4222672886432286,0.2155974348962424,0.7015348500682621,4.222672886432286,_1852_
A2,X,0.096729044178995,0.3602046263216789,0.2027583852649419,0.6670893470878128,3.6020462632167884,_1841_
A3,X,0.0853560093987043,0.3236802306688239,0.1564675377994868,0.5378392883292575,3.2368023066882388,_1837_
B1,X,0.0748034225179214,0.3008165190976684,0.1071652241723536,0.3421754920702873,3.008165190976684,_1864_
B2,X,0.0667964799600852,0.2832923420477331,0.0999201305533496,0.3405647249494543,2.8329234204773313,_1843_
A1,X,0.129051550876138,0.5356258366224617,0.1706504430511638,0.5669602725553193,5.356258366224616,_1852_
A2,X,0.1216398405320011,0.4508020750957096,0.1618947799421329,0.5165965579310505,4.508020750957096,_1841_
B1,X,0.1261967788210297,0.4954108929979231,0.1542748472638386,0.5200969246932371,4.954108929979231,_1864_
B2,X,0.1111058915207713,0.4210343859395135,0.1424665009621748,0.4770683982889686,4.210343859395135,_1843_
C1,X,0.0978743919169544,0.4196529353909023,0.079356065631502,0.284453801897793,4.196529353909023,_1854_
A,Y,0.0488467821683522,0.1292746918326107,0.0237864092793997,0.1010817777535502,1.2927469183261069,key_in[15]
A,Y,0.1122098418165292,0.2946289962062568,0.0472559504902689,0.1792367693885746,2.946289962062568,key_in[15]
B,Y,0.0872600003064215,0.218005897282829,0.0303073304198119,0.0951301009337086,2.1800589728282898,_1780_
A1,X,0.0850912697721011,0.2959097772792629,0.1151408168066454,0.3520059066087027,2.9590977727926284,_1852_
A2,X,0.075594671551056,0.2377255959372053,0.1135765333373893,0.3245376559349915,2.377255959372053,_1841_
B1,X,0.0624146099692035,0.2281367659357809,0.0707100786826182,0.3024737212978197,2.2813676593578087,_1864_
A1_N,X,0.2554228567615748,0.7448831207126655,0.1875700203803646,0.8212878387609733,7.448831207126655,_0995_
A2_N,X,0.24385333331705,0.6935918147250882,0.1789723558899942,0.787320120272684,6.935918147250882,A2_N
B1,X,0.187750598160427,0.4911042822524516,0.2319103030809023,0.7981630027270409,4.911042822524516,_1864_
B2,X,0.1782846976068809,0.4534647230509729,0.2059785456055761,0.7175222841196247,4.534647230509729,_1843_
A,X,0.0887593357269002,0.2557159556483652,0.1496741661864026,0.5735612147572181,2.5571595564836516,key_in[15]
B,X,0.0807772066543661,0.2180730657777184,0.1309549450389627,0.5011763923501634,2.180730657777184,_1780_
A,X,0.0842386809151213,0.2537060078277386,0.2168314339452253,0.8861900353261875,2.5370600782773858,key_in[15]
B,X,0.0795587993004262,0.2407844269900109,0.2039149878891318,0.8326961578177633,2.407844269900109,_1780_
C,X,0.0667885279874464,0.186567933049997,0.1729691716592472,0.7313840851079231,1.86567933049997,_1779_
A,X,0.1801058519968305,0.4123743407911827,0.1398331767733787,0.4269296426114267,4.123743407911826,key_in[15]
A1,X,0.1071210997447708,0.4143714932910886,0.2152719591295807,0.7002663647156013,4.1437149329108856,_1852_
A2,X,0.0983573667019014,0.364537327308967,0.1985131837322568,0.6598513033852145,3.6453732730896697,_1841_
A3,X,0.0877592051646688,0.3309439205240164,0.1628908998235744,0.5477423669666897,3.309439205240164,_1837_
B1,X,0.0890927704050948,0.4237318393875832,0.123773619856739,0.4080605413514234,4.237318393875832,_1864_
B2,X,0.0688616266832785,0.2833923176339281,0.0961522416680257,0.320236235482307,2.8339231763392805,_1843_
A1,X,0.1599639355142481,0.5700008404388535,0.1893920907043355,0.6145744087590382,5.700008404388535,_1852_
A2,X,0.1563382939579773,0.5331765180274134,0.1821970542673699,0.5832877679287424,5.331765180274133,_1841_
B1,X,0.1680059472428665,0.6139979254371976,0.1805318029500625,0.6043760662998564,6.139979254371975,_1864_
B2,X,0.1447930288872267,0.5007265299678624,0.1616432311532142,0.5402083377973552,5.0072652996786235,_1843_
C1,X,0.131816089552368,0.5003684830322945,0.0952727715353019,0.3384561615658764,5.003684830322945,_1854_
A,Y,0.0382089058707373,0.1187700388322718,0.0173111530010605,0.115188598031419,1.187700388322718,key_in[15]
A,Y,0.1336626541725124,0.3487867038354543,0.0546510838164006,0.2162266538132442,3.4878670383545427,key_in[15]
B,Y,0.1191531351755412,0.3049853511618873,0.0465249726912883,0.1799474509223122,3.0498535116188727,_1780_
A1,Y,0.1442060400797184,0.3733312931134307,0.063445653304651,0.2641655302608502,3.733312931134307,_1852_
A2,Y,0.1515875107233669,0.3761425721803193,0.0639118706603462,0.2444572946595273,3.7614257218031937,_1841_
B1,Y,0.0848180369391194,0.2930136216597412,0.0433709920531343,0.1769134055992323,2.930136216597412,_1864_
A1_N,X,0.1597201721645097,0.5161572981789344,0.1246753707784184,0.6111285539489024,5.161572981789344,_0995_
A2_N,X,0.1565782547937488,0.5333713621737457,0.1294881599707078,0.6798704014422241,5.333713621737457,A2_N
B1,X,0.0830708442213833,0.2532669978758102,0.1677030367598184,0.5909352063832497,2.532669978758102,_1864_
B2,X,0.0952772401831024,0.3346379101871736,0.152592470755892,0.586693155108486,3.3463791018717357,_1843_
A1_N,X,0.2083567266583096,0.6629224024027891,0.1575644659344153,0.7644972649099904,6.629224024027891,_0995_
A2_N,X,0.1807088002607692,0.5719503366140795,0.1430528375136377,0.6762827156366813,5.719503366140795,A2_N
B1,X,0.1388072474028829,0.4216888624310398,0.2099122046709526,0.7410504641898108,4.216888624310398,_1864_
B2,X,0.1130464781559728,0.3180929776282282,0.1693607524381331,0.6220129032344017,3.180929776282282,_1843_
